Country,Region,Market,Product,Date,Open,High,Low,Close,Currency
Nigeria,Market Average,Market Average,sorghum,01/11/2009,6209.45,6414.55,6004.35,6036.82,NGN
Nigeria,Market Average,Market Average,sorghum,01/12/2009,5983.22,6297.6,5788.22,6297.6,NGN
Nigeria,Market Average,Market Average,sorghum,01/01/2010,6400.21,6605.47,6194.95,6347.66,NGN
Nigeria,Market Average,Market Average,sorghum,01/02/2010,6430.05,6636.17,6066.22,6066.22,NGN
Nigeria,Market Average,Market Average,sorghum,01/03/2010,6024.35,6221.22,5827.48,6049.92,NGN
Nigeria,Market Average,Market Average,sorghum,01/04/2010,6056.74,6341.24,5859.53,6341.24,NGN
Nigeria,Market Average,Market Average,sorghum,01/05/2010,6476.31,6681.99,6270.62,6527.09,NGN
Nigeria,Market Average,Market Average,sorghum,01/06/2010,6660.85,6874.28,6447.42,6518.78,NGN
Nigeria,Market Average,Market Average,sorghum,01/07/2010,6578.22,6790.54,6365.9,6416.07,NGN
Nigeria,Market Average,Market Average,sorghum,01/08/2010,6425.26,6635.47,5999.2,5999.2,NGN
Nigeria,Market Average,Market Average,sorghum,01/09/2010,5903.71,6098.03,5709.39,5777.48,NGN
Nigeria,Market Average,Market Average,sorghum,01/10/2010,5707.9,5897.43,5518.37,5737.48,NGN
Nigeria,Market Average,Market Average,sorghum,01/11/2010,5737.91,6058.15,5550.97,6058.15,NGN
Nigeria,Market Average,Market Average,sorghum,01/12/2010,6198.78,6396.67,5672.1,5672.1,NGN
Nigeria,Market Average,Market Average,sorghum,01/01/2011,5623.54,5805.86,5441.22,5703.84,NGN
Nigeria,Market Average,Market Average,sorghum,01/02/2011,5715.03,5901.56,5528.49,5813.61,NGN
Nigeria,Market Average,Market Average,sorghum,01/03/2011,5888.27,6211.26,5700.28,6211.26,NGN
Nigeria,Market Average,Market Average,sorghum,01/04/2011,6398.28,6645.23,6196.15,6645.23,NGN
Nigeria,Market Average,Market Average,sorghum,01/05/2011,6882.25,7097.39,6667.12,6775.92,NGN
Nigeria,Market Average,Market Average,sorghum,01/06/2011,6911.89,7132.98,6690.81,7087.68,NGN
Nigeria,Market Average,Market Average,sorghum,01/07/2011,7254.74,7485.03,7024.45,7240.93,NGN
Nigeria,Market Average,Market Average,sorghum,01/08/2011,7372.83,7642.83,7135.78,7642.83,NGN
Nigeria,Market Average,Market Average,sorghum,01/09/2011,7846.53,8095.32,7418.62,7418.62,NGN
Nigeria,Market Average,Market Average,sorghum,01/10/2011,7439.55,7828.97,7197.69,7828.97,NGN
Nigeria,Market Average,Market Average,sorghum,01/11/2011,7997.22,8251.51,7734.92,7734.92,NGN
Nigeria,Market Average,Market Average,sorghum,01/12/2011,7797.51,8049.89,7545.12,7899.62,NGN
Nigeria,Market Average,Market Average,sorghum,01/01/2012,7996.4,8254.08,7738.71,7807.36,NGN
Nigeria,Market Average,Market Average,sorghum,01/02/2012,7845.02,8100.44,7589.6,8065.99,NGN
Nigeria,Market Average,Market Average,sorghum,01/03/2012,8194.35,8458.15,7930.56,8041.11,NGN
Nigeria,Market Average,Market Average,sorghum,01/04/2012,8111.1,8374.99,7847.21,8241.01,NGN
Nigeria,Market Average,Market Average,sorghum,01/05/2012,8357.8,8628.37,8087.22,8306.52,NGN
Nigeria,Market Average,Market Average,sorghum,01/06/2012,8401.7,8675.39,7876.75,7876.75,NGN
Nigeria,Market Average,Market Average,sorghum,01/07/2012,7804,8258.28,7546.6,8258.28,NGN
Nigeria,Market Average,Market Average,sorghum,01/08/2012,8396.6,8667.37,8125.83,8244.98,NGN
Nigeria,Market Average,Market Average,sorghum,01/09/2012,8331.52,8601.96,7605.88,7605.88,NGN
Nigeria,Market Average,Market Average,sorghum,01/10/2012,7465.7,7711.57,7219.82,7254.13,NGN
Nigeria,Market Average,Market Average,sorghum,01/11/2012,7136.8,7374.75,6898.85,7288.74,NGN
Nigeria,Market Average,Market Average,sorghum,01/12/2012,7309.56,7546.41,7072.71,7194.52,NGN
Nigeria,Market Average,Market Average,sorghum,01/01/2013,7211.22,7509.37,6974.74,7509.37,NGN
Nigeria,Market Average,Market Average,sorghum,01/02/2013,7651.52,7895.96,7407.08,7443.55,NGN
Nigeria,Market Average,Market Average,sorghum,01/03/2013,7501.96,7746.81,7257.1,7737.63,NGN
Nigeria,Market Average,Market Average,sorghum,01/04/2013,7879.2,8131.89,7626.51,8067.23,NGN
Nigeria,Market Average,Market Average,sorghum,01/05/2013,8260.77,8526.55,7994.98,8024.91,NGN
Nigeria,Market Average,Market Average,sorghum,01/06/2013,8098.64,8400.93,7835.68,8400.93,NGN
Nigeria,Market Average,Market Average,sorghum,01/07/2013,8578.41,8855.18,8260.82,8260.82,NGN
Nigeria,Market Average,Market Average,sorghum,01/08/2013,8309.06,8580.16,7964.36,7964.36,NGN
Nigeria,Market Average,Market Average,sorghum,01/09/2013,7912.48,8174.71,7545.71,7545.71,NGN
Nigeria,Market Average,Market Average,sorghum,01/10/2013,7439.79,7687.33,7192.26,7458.01,NGN
Nigeria,Market Average,Market Average,sorghum,01/11/2013,7436.99,7683.39,7190.58,7493.83,NGN
Nigeria,Market Average,Market Average,sorghum,01/12/2013,7541.71,7788.76,7294.65,7582.13,NGN
Nigeria,Market Average,Market Average,sorghum,01/01/2014,7661.14,7912.55,7409.72,7778.59,NGN
Nigeria,Market Average,Market Average,sorghum,01/02/2014,7901.36,8158.92,7601.92,7601.92,NGN
Nigeria,Market Average,Market Average,sorghum,01/03/2014,7615.2,7867.38,7363.02,7760.42,NGN
Nigeria,Market Average,Market Average,sorghum,01/04/2014,7844.97,8102.82,7535.61,7535.61,NGN
Nigeria,Market Average,Market Average,sorghum,01/05/2014,7529.12,7779.26,7278.97,7567.11,NGN
Nigeria,Market Average,Market Average,sorghum,01/06/2014,7603.97,7856.36,7351.58,7630.34,NGN
Nigeria,Market Average,Market Average,sorghum,01/07/2014,7701.62,8391.82,7447.13,8391.82,NGN
Nigeria,Market Average,Market Average,sorghum,01/08/2014,8719.93,8995.77,8444.09,8727.56,NGN
Nigeria,Market Average,Market Average,sorghum,01/09/2014,8982.73,9274.34,8646.1,8646.1,NGN
Nigeria,Market Average,Market Average,sorghum,01/10/2014,8714.69,8999.78,8429.61,8445.81,NGN
Nigeria,Market Average,Market Average,sorghum,01/11/2014,8432.56,8714.73,8101.3,8101.3,NGN
Nigeria,Market Average,Market Average,sorghum,01/12/2014,8029.22,8297.01,7434.18,7434.18,NGN
Nigeria,Market Average,Market Average,sorghum,01/01/2015,7254.63,7500.58,7008.67,7374.86,NGN
Nigeria,Market Average,Market Average,sorghum,01/02/2015,7340.08,7584.72,7095.43,7309.14,NGN
Nigeria,Market Average,Market Average,sorghum,01/03/2015,7325.14,7568.02,7082.27,7149,NGN
Nigeria,Market Average,Market Average,sorghum,01/04/2015,7136.22,7374.07,6799.1,6799.1,NGN
Nigeria,Market Average,Market Average,sorghum,01/05/2015,6719.96,7247.08,6494.21,7247.08,NGN
Nigeria,Market Average,Market Average,sorghum,01/06/2015,7408.99,7647.72,7170.27,7382.25,NGN
Nigeria,Market Average,Market Average,sorghum,01/07/2015,7519.86,8142.53,7274.07,8142.53,NGN
Nigeria,Market Average,Market Average,sorghum,01/08/2015,8479.57,8744.9,8214.25,8432.49,NGN
Nigeria,Market Average,Market Average,sorghum,01/09/2015,8671.12,8952.09,8390.16,8499.41,NGN
Nigeria,Market Average,Market Average,sorghum,01/10/2015,8610.66,8889.42,8331.91,8388.75,NGN
Nigeria,Market Average,Market Average,sorghum,01/11/2015,8417.45,8697,7922.44,7922.44,NGN
Nigeria,Market Average,Market Average,sorghum,01/12/2015,7823.28,8082.69,7563.86,7942.26,NGN
Nigeria,Market Average,Market Average,sorghum,01/01/2016,7954.86,8219.76,7689.95,8160.52,NGN
Nigeria,Market Average,Market Average,sorghum,01/02/2016,8283.95,8552.58,8015.32,8066.39,NGN
Nigeria,Market Average,Market Average,sorghum,01/03/2016,8109.47,8717.25,7840.3,8717.25,NGN
Nigeria,Market Average,Market Average,sorghum,01/04/2016,8988.48,9273.42,8703.53,9172.66,NGN
Nigeria,Market Average,Market Average,sorghum,01/05/2016,9458.62,9764.68,9152.55,9425.28,NGN
Nigeria,Market Average,Market Average,sorghum,01/06/2016,9621.69,10165.21,9311.39,10165.21,NGN
Nigeria,Market Average,Market Average,sorghum,01/07/2016,10517.72,11165.15,10180.39,11165.15,NGN
